Date,Site,Plot_type,Plot_abbrev,DAH,Height,Fruit
10/12/17,Horti Farm,cleared,HF_CL,1.1,190,1
10/12/17,Horti Farm,cleared,HF_CL,1.6,181,1
10/12/17,Horti Farm,cleared,HF_CL,1.3,230,1
10/12/17,Horti Farm,cleared,HF_CL,1.9,202,1
10/12/17,Horti Farm,cleared,HF_CL,1.3,172,0
10/12/17,Horti Farm,cleared,HF_CL,2.6,298,1
10/12/17,Horti Farm,cleared,HF_CL,1.4,201,0
10/12/17,Horti Farm,cleared,HF_CL,1.6,287,1
10/12/17,Horti Farm,cleared,HF_CL,1.4,234,1
10/12/17,Horti Farm,cleared,HF_CL,1,142,0
10/12/17,College Woods,white pine,CW_WP,0.9,163,0
10/12/17,College Woods,white pine,CW_WP,1,257,0
10/12/17,College Woods,white pine,CW_WP,2.1,289,0
10/12/17,College Woods,white pine,CW_WP,1.7,276,0
10/12/17,College Woods,white pine,CW_WP,1,198,0
10/12/17,College Woods,white pine,CW_WP,0.9,121,0
10/12/17,College Woods,white pine,CW_WP,1,223,0
10/12/17,College Woods,white pine,CW_WP,3,411,1
10/12/17,College Woods,white pine,CW_WP,1.2,290,0
10/12/17,College Woods,white pine,CW_WP,0.8,122,0
10/12/17,College Woods,mixed,CW_MX,1,202,0
10/12/17,College Woods,mixed,CW_MX,0.1,225,0
10/12/17,College Woods,mixed,CW_MX,2.9,420,1
10/12/17,College Woods,mixed,CW_MX,1.7,262,0
10/12/17,College Woods,mixed,CW_MX,1.2,194,0
10/12/17,College Woods,mixed,CW_MX,1.3,241,0
10/12/17,College Woods,mixed,CW_MX,1,293,0
10/12/17,College Woods,mixed,CW_MX,1.2,194,0
10/12/17,College Woods,mixed,CW_MX,1.7,254,0
10/12/17,College Woods,mixed,CW_MX,1.6,264,0
10/12/17,MacDonald,cleared,MAC_CL,2.5,337,1
10/12/17,MacDonald,cleared,MAC_CL,1.7,230,0
10/12/17,MacDonald,cleared,MAC_CL,1.6,232,0
10/12/17,MacDonald,cleared,MAC_CL,1.2,199,1
10/12/17,MacDonald,cleared,MAC_CL,2.1,325,1
10/12/17,MacDonald,cleared,MAC_CL,0.8,125,0
10/12/17,MacDonald,cleared,MAC_CL,1.4,222,1
10/12/17,MacDonald,cleared,MAC_CL,1.4,215,1
10/12/17,MacDonald,cleared,MAC_CL,1.5,240,0
10/12/17,MacDonald,cleared,MAC_CL,2.6,329,1
10/12/17,MacDonald,white pine,MAC_WP,2.1,313,1
10/12/17,MacDonald,white pine,MAC_WP,1.2,216,0
10/12/17,MacDonald,white pine,MAC_WP,1.1,232,0
10/12/17,MacDonald,white pine,MAC_WP,1,139,0
10/12/17,MacDonald,white pine,MAC_WP,1.5,279,0
10/12/17,MacDonald,white pine,MAC_WP,1.6,223,0
10/12/17,MacDonald,white pine,MAC_WP,1.7,274,0
10/12/17,MacDonald,white pine,MAC_WP,1,152,0
10/12/17,MacDonald,white pine,MAC_WP,1.1,149,0
10/12/17,MacDonald,white pine,MAC_WP,2.6,318,1