Subblock,Treatment,N,Height,Date,Year,Season
ORCSD,NONE,11330,short,6/16/2008,2008,Start
3C,NONE,24330,short,6/16/2008,2008,Start
4C,NONE,8666,short,6/16/2008,2008,Start
ORCSD,NONE,8000,short,9/5/2008,2008,End
3C,NONE,74420,short,9/5/2008,2008,End
4C,NONE,9750,short,9/5/2008,2008,End
ORCSD,NONE,9250,short,5/19/2009,2009,Start
3C,NONE,23740,short,5/19/2009,2009,Start
4C,NONE,21740,short,5/19/2009,2009,Start
ORCSD,NONE,6000,short,7/6/2009,2009,Mid
3C,NONE,15500,short,7/6/2009,2009,Mid
4C,NONE,9250,short,7/6/2009,2009,Mid
ORCSD,NONE,3750,short,9/8/2009,2009,End
3C,NONE,44120,short,9/8/2009,2009,End
4C,NONE,24120,short,9/8/2009,2009,End
ORCSD,NONE,8750,short,6/1/2010,2010,Start
3C,NONE,98999,short,6/1/2010,2010,Start
4C,NONE,34249,short,6/1/2010,2010,Start
ORCSD,CUT,"4,000",short,6/16/2008,2008,Start
3C,CUT,"46,330",short,6/16/2008,2008,Start
4C,CUT,"12,330",short,6/16/2008,2008,Start
ORCSD,CUT,6250,short,9/5/2008,2008,End
3C,CUT,92998,short,9/5/2008,2008,End
4C,CUT,19240,short,9/5/2008,2008,End
ORCSD,CUT,4500,short,5/19/2009,2009,Start
3C,CUT,15500,short,5/19/2009,2009,Start
4C,CUT,8250,short,5/19/2009,2009,Start
ORCSD,CUT,4000,short,7/6/2009,2009,Mid
3C,CUT,22749,short,7/6/2009,2009,Mid
4C,CUT,14750,short,7/6/2009,2009,Mid
ORCSD,CUT,5250,short,9/8/2009,2009,End
3C,CUT,18500,short,9/8/2009,2009,End
4C,CUT,24120,short,9/8/2009,2009,End
ORCSD,CUT,7250,short,6/1/2010,2010,Start
3C,CUT,2250,short,6/1/2010,2010,Start
4C,CUT,4250,short,6/1/2010,2010,Start
ORCSD,NONE,4667,tall,6/16/2008,2008,Start
3C,NONE,5667,tall,6/16/2008,2008,Start
4C,NONE,3333,tall,6/16/2008,2008,Start
ORCSD,NONE,3000,tall,9/5/2008,2008,End
3C,NONE,2500,tall,9/5/2008,2008,End
4C,NONE,2500,tall,9/5/2008,2008,End
ORCSD,NONE,2000,tall,5/19/2009,2009,Start
3C,NONE,4000,tall,5/19/2009,2009,Start
4C,NONE,2250,tall,5/19/2009,2009,Start
ORCSD,NONE,1000,tall,7/6/2009,2009,Mid
3C,NONE,1250,tall,7/6/2009,2009,Mid
4C,NONE,1500,tall,7/6/2009,2009,Mid
ORCSD,NONE,2000,tall,9/8/2009,2009,End
3C,NONE,3500,tall,9/8/2009,2009,End
4C,NONE,1625,tall,9/8/2009,2009,End
ORCSD,NONE,1500,tall,6/1/2010,2010,Start
3C,NONE,750,tall,6/1/2010,2010,Start
4C,NONE,2000,tall,6/1/2010,2010,Start
ORCSD,CUT,1667,tall,6/16/2008,2008,Start
3C,CUT,5333,tall,6/16/2008,2008,Start
4C,CUT,4667,tall,6/16/2008,2008,Start
ORCSD,CUT,250,tall,9/5/2008,2008,End
3C,CUT,0,tall,9/5/2008,2008,End
4C,CUT,250,tall,9/5/2008,2008,End
ORCSD,CUT,0,tall,5/19/2009,2009,Start
3C,CUT,0,tall,5/19/2009,2009,Start
4C,CUT,0,tall,5/19/2009,2009,Start
ORCSD,CUT,0,tall,7/6/2009,2009,Mid
3C,CUT,0,tall,7/6/2009,2009,Mid
4C,CUT,0,tall,7/6/2009,2009,Mid
ORCSD,CUT,0,tall,9/8/2009,2009,End
3C,CUT,0,tall,9/8/2009,2009,End
4C,CUT,125,tall,9/8/2009,2009,End
ORCSD,CUT,0,tall,6/1/2010,2010,Start
3C,CUT,0,tall,6/1/2010,2010,Start
4C,CUT,0,tall,6/1/2010,2010,Start