Plant,Year,Survival,Height,nFruit,nSeedFruit,nSeedPlant
LH1,2015,yes,47,0,0,0
LH2,2015,yes,53,0,0,0
LH3,2015,yes,46,0,0,0
LH4,2015,yes,51,0,0,0
LH5,2015,yes,45,0,0,0
LH6,2015,yes,29,0,0,0
LH7,2015,yes,25,0,0,0
LH8,2015,yes,34,0,0,0
LH9,2015,yes,33,0,0,0
LH10,2015,yes,57,0,0,0
LH11,2015,yes,70,0,0,0
LH12,2015,yes,20,0,0,0
LH13,2015,yes,23,0,0,0
LH14,2015,yes,81,0,0,0
LH15,2015,yes,59,0,0,0
LH1,2016,yes,151,2538,2.37,6004
LH2,2016,yes,164,3070,2.54,7796
LH3,2016,yes,172,698,2.79,1949
LH4,2016,yes,196,2513,2.48,6228
LH5,2016,yes,203,644,2.53,1631
LH6,2016,yes,176,1916,2.72,5220
LH7,2016,yes,139,683,2.27,1553
LH8,2016,yes,190,1787,2.58,4619
LH9,2016,yes,158,2743,2.60,7121
LH10,2016,yes,109,2088,2.78,5798
LH11,2016,yes,188,3647,2.45,8931
LH12,2016,yes,180,626,2.69,1681
LH13,2016,yes,158,1171,2.58,3024
LH14,2016,yes,220,2978,2.56,7624
LH15,2016,yes,219,1491,2.62,3905
LH1,2017,yes,173,1723,2.32,3997
LH2,2017,yes,240,695,2.48,1724
LH3,2017,yes,244,1741,2.52,4387
LH4,2017,yes,213,1673,2.40,4015
LH5,2017,yes,292,1639,2.20,3606
LH6,2017,yes,202,2545,2.44,6210
LH7,2017,yes,194,1823,2.36,4302
LH8,2017,yes,294,1697,2.12,3598
LH9,2017,yes,232,3260,2.16,7042
LH10,2017,yes,197,1596,2.44,3894
LH11,2017,yes,229,3541,2.60,9207
LH12,2017,yes,290,1071,2.60,2785
LH13,2017,yes,199,1360,2.40,3264
LH14,2017,yes,297,4449,2.32,10322
LH15,2017,yes,291,1032,2.44,2518