Treatment,SeedSource,Replicate,6-Apr,9-Apr,10-Apr,11-Apr,12-Apr,13-Apr,14-Apr,15-Apr,17-Apr,20-Apr,22-Apr,25-Apr,propGerm
AmbientTemp,KF,1,0,0,0,0,0,0,0,1,6,6,6,7,0.28
AmbientTemp,KF,2,0,0,0,0,0,0,0,3,5,5,5,5,0.2
AmbientTemp,KF,3,0,0,0,1,1,2,2,3,4,4,5,5,0.2
AmbientTemp,MR,1,0,0,0,0,0,0,0,0,5,6,6,6,0.24
AmbientTemp,MR,2,0,0,0,0,0,0,0,1,3,3,3,3,0.12
AmbientTemp,MR,3,0,0,0,0,0,0,0,0,4,4,7,7,0.28
AlternateTemp,KF,4,0,0,4,5,5,5,5,5,5,5,5,5,0.2
AlternateTemp,KF,5,0,5,6,7,7,7,7,7,7,7,7,7,0.28
AlternateTemp,KF,6,0,4,4,4,4,5,5,5,5,6,6,7,0.28
AlternateTemp,MR,4,0,0,0,0,0,0,0,0,1,1,2,2,0.08
AlternateTemp,MR,5,0,0,1,2,2,2,2,3,3,3,5,5,0.2
AlternateTemp,MR,6,0,0,0,0,0,0,0,0,0,1,1,1,0.04
ColdTemp,KF,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ColdTemp,KF,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ColdTemp,KF,9,0,0,0,0,0,0,0,0,0,0,0,0,0
ColdTemp,MR,7,0,0,0,0,0,0,0,0,0,0,0,0,0
ColdTemp,MR,8,0,0,0,0,0,0,0,0,0,0,0,0,0
ColdTemp,MR,9,0,0,0,0,0,0,0,0,0,0,0,0,0