Subblock,Mgmt,Date,N_seedling,N_adult
ORCSD 2,None,6/16/2008,11330,4667
3C2,None,6/16/2008,24330,5667
4C2,None,6/16/2008,8666,3333
ORCSD 2,None,9/5/2008,8000,3000
3C2,None,9/5/2008,74420,2500
4C2,None,9/5/2008,9750,2500
ORCSD 2,None,5/19/2009,9250,2000
3C2,None,5/19/2009,23740,4000
4C2,None,5/19/2009,21740,2250
ORCSD 2,None,7/6/2009,6000,1000
3C2,None,7/6/2009,15500,1250
4C2,None,7/6/2009,9250,1500
ORCSD 2,None,9/8/2009,3750,2000
3C2,None,9/8/2009,44120,3500
4C2,None,9/8/2009,24120,1625
ORCSD 2,None,6/1/2010,8750,1500
3C2,None,6/1/2010,98999,750
4C2,None,6/1/2010,34249,2000
ORCSD 1,Cut,6/16/2008,"4,000",1667
3c3,Cut,6/16/2008,"46,330",5333
4c3,Cut,6/16/2008,"12,330",4667
ORCSD 1,Cut,9/5/2008,6250,250
3c3,Cut,9/5/2008,92998,0
4c3,Cut,9/5/2008,19240,250
ORCSD 1,Cut,5/19/2009,4500,0
3c3,Cut,5/19/2009,15500,0
4c3,Cut,5/19/2009,8250,0
ORCSD 1,Cut,7/6/2009,4000,0
3c3,Cut,7/6/2009,22749,0
4c3,Cut,7/6/2009,14750,0
ORCSD 1,Cut,9/8/2009,5250,0
3c3,Cut,9/8/2009,18500,0
4c3,Cut,9/8/2009,24120,125
ORCSD 1,Cut,6/1/2010,7250,0
3c3,Cut,6/1/2010,2250,0
4c3,Cut,6/1/2010,4250,0